review_date,month,rating,service_group,municipality,order_value_eur,has_comment,comment
2026-06-05,2026-06,4,recycling,Turku,77.22,kylla,"Hienosti toimittu ja ajallaan. Vähän kallis, siitä yksi tähti pois. 
Hyvää kesää, [NIMI]"
2026-06-13,2026-06,5,recommerce,Helsinki,365.46,ei,
2026-06-17,2026-06,5,recommerce,Helsinki,108.44,ei,
2026-07-27,2026-07,5,recommerce,Helsinki,128.41,ei,
2026-08-04,2026-08,5,muutto,Helsinki,174.5,kylla,Mahtava palvelu ja nopea muutto. Kiitos 🙏
2026-08-13,2026-08,5,muutto,Helsinki,120.65,kylla,"Amazing service!! Super fast and very friendly carriers, could not recommend more!"
2026-08-23,2026-08,5,recommerce,Tampere,54.94,kylla,Kuljetus hoitui hyvin ja etuajassa. Ystävällinen palvelu.
2026-08-29,2026-08,5,muutto,Kerava,279.53,ei,
2026-08-29,2026-08,5,carry_help,Espoo,61.94,kylla,Kaikki sujui hienosti. Hyvä palvelu!
2026-08-30,2026-08,5,muutto,useita,619.55,kylla,"Erittäin hyvä, mukava ja tehokas palvelu! Kiitos!"
2026-08-30,2026-08,5,carry_help,Tampere,83.59,ei,
2026-08-30,2026-08,5,business,,240.28,kylla,"Samoin tämä toimitus.
HIENOA TYÖTÄ.
KIITOS😀👍👍👍"
2026-08-30,2026-08,5,recommerce,Tampere,91.74,kylla,"Everything went as agreed. Really good and friendly service, professional movers. Thank you very much! :)"
2026-08-30,2026-08,5,recommerce,useita,13.86,kylla,"Kommelluksista huolimatta 😀 aivan todella HIENOSTI. YSTÄVÄLLINEN ASIAKASPALVELU.
SUOSITTELEN EHDOTTOMASTI👍👍👍"
2026-08-30,2026-08,5,muutto,Espoo,131.73,kylla,Ystävällinen palvelu! Kaikki sujui hyvin.
2026-08-31,2026-08,5,recommerce,useita,130.42,kylla,"Toiminta oli ammattimaista, nopeaa ja asiakaspalveluhenkistä kuskiin saakka."
2026-09-02,2026-09,5,business,,339.27,kylla,That was great! I am very thankful and will recommend you to my friends 🤓
2026-09-03,2026-09,5,recommerce,Turku,92.99,ei,
2026-09-03,2026-09,1,recommerce,useita,161.26,kylla,"Tilausta ei ole toimitettu sovitusti, eikä ketään saa kiinni asiaan liittyen! 
Saimme automaattisen vahvistuksen sähköpostiin että tavara olisi toimitettu, vaikka niin ei ole!"
2026-09-04,2026-09,5,recommerce,useita,230.84,kylla,Kaikki sujui suunnitelmallisesti
2026-09-05,2026-09,5,recommerce,useita,104.54,kylla,Nopea toimitus ystävällinen kuski
2026-09-05,2026-09,5,recommerce,Vantaa,40.34,kylla,Erittäin ystävällinen kuljettaja!
2026-09-05,2026-09,5,recommerce,useita,78.31,kylla,"Yllätyin miten hyvä palvelu tämä oli. Nopea toiminta, hyvä asiakaspalvelu ja hinta oli kaikki kohdillaan. Kiitos!"
2026-09-08,2026-09,1,recommerce,Lahti,49.36,kylla,"Jokin meni pieleen. Tilattu kuljetus siirtyi sopimatta seuraavalle päivälle. Netissä maksettu ennakkoon, toimituksen yhteydessä pyydetty suoritusta toiseen kertaan. Palvelu ystävällistä ja pahoittelevaa, tekoäly selvästi kytketty mm.puheluihin ja viesteihin.Tiedonkulku Apukuskien ja kuljetusyrityksen välillä selvästi takkusi ainakin meidän kohdallamme. Pitää kahdesti miettiä, käytämmekö palvelua uudelleen. Harmi!"
2026-09-09,2026-09,5,carry_help,Helsinki,114.09,kylla,"Fantastic job. The two gentlemen were so nice, and they did an excellent job. I would definitely hire them again."
2026-09-09,2026-09,5,muutto,Helsinki,159.35,kylla,Nopeasti ja hyvin meni muutto
2026-09-10,2026-09,5,other,Turku,124.04,kylla,Erittäin nopea ja helppo tapa siirtää tavaroita. Suosittele.
2026-09-11,2026-09,3,recommerce,useita,293.14,kylla,"Olin tilannut kaksi kantajaa, mutta paikalla olikin vain yksi. Mihinköhän toinen jäi?
Tällaisen palautteen sain tavaroiden vastaanottajalta: ""Melko yöhään kaveri ilmestyi, toki laittoi viestiä, sitten yhdesäs kannettiin tavarat sateelta suojaan, noin 22:00 siellä touhuttiin, kun oli yksin niin laitoin hanskat käteen ja kannoin mukana, melkoista työturvallisuutta, oli lähtenyt aamulla 7, Joensuu-Kuopio-Helsinki-Kemiö, ja lähti siitä vielä kotiin Kotkaan.....meiltä noin 5 h ajamista, ihan mukava kaveri, hyvä suomenkieli ja kohtelias, ei hätää - varmaan oikea huone tyhjennetty Kuopiossa."""
2026-09-12,2026-09,5,recycling,Helsinki,62.39,kylla,"Your team was fantastic. They called to see if they could come early, which worked even better for our schedule. They were very professional and efficient, we will be booking your company again."
2026-09-12,2026-09,5,recommerce,useita,179.81,kylla,mainio palvelu!
2026-09-14,2026-09,5,recommerce,Rovaniemi,125.24,ei,
2026-09-14,2026-09,5,muutto,Tampere,72.46,ei,
2026-09-16,2026-09,5,muutto,Tampere,81.22,ei,
2026-09-18,2026-09,2,recommerce,useita,224.51,kylla,Lopulta tavarat tuli. Nyt sitten odottelen enään noita akustiikkalevyjä. pitkiä on toimitusajat.
2026-09-18,2026-09,4,recommerce,useita,123.02,ei,
2026-09-18,2026-09,5,recommerce,useita,141.99,kylla,Kaikki sujui hyvin
2026-09-19,2026-09,5,carry_help,Tampere,57.89,ei,
2026-09-20,2026-09,5,recommerce,useita,96.44,ei,
2026-09-21,2026-09,4,recommerce,,89.45,ei,
