month,municipality,customer_locations
2024-01,Tampere,81
2024-01,Helsinki,51
2024-01,Espoo,18
2024-01,Vantaa,11
2024-01,Turku,7
2024-01,Jyväskylä,7
2024-01,Kirkkonummi,4
2024-01,Pirkkala,3
2024-01,Kangasala,3
2024-01,Järvenpää,1
2024-01,Lempäälä,1
2024-01,Akaa,1
2024-01,Inkoo,1
2024-01,Nokia,1
2024-01,Porvoo,1
2024-01,Hämeenlinna,1
2024-01,Lahti,1
2024-02,Tampere,95
2024-02,Helsinki,46
2024-02,Turku,13
2024-02,Espoo,11
2024-02,Vantaa,9
2024-02,Kangasala,5
2024-02,Nokia,5
2024-02,Pirkkala,4
2024-02,Ylöjärvi,3
2024-02,Järvenpää,3
2024-02,Sipoo,2
2024-02,Naantali,2
2024-02,Lempäälä,2
2024-02,Lahti,1
2024-02,Hanko,1
2024-02,Kaarina,1
2024-02,Uusikaupunki,1
2024-02,Hämeenlinna,1
2024-02,Karkkila,1
2024-02,Lieto,1
2024-02,Raisio,1
2024-02,Akaa,1
2024-02,Kuopio,1
2024-03,Tampere,58
2024-03,Helsinki,36
2024-03,Turku,20
2024-03,Espoo,13
2024-03,Vantaa,12
2024-03,Kangasala,6
2024-03,Nokia,3
2024-03,Ylöjärvi,2
2024-03,Pirkkala,2
2024-03,Tuusula,2
2024-03,Vehmaa,1
2024-03,Lempäälä,1
2024-04,Tampere,83
2024-04,Helsinki,73
2024-04,Espoo,16
2024-04,Turku,14
2024-04,Vantaa,7
2024-04,Lempäälä,7
2024-04,Ylöjärvi,3
2024-04,Kerava,3
2024-04,Nokia,3
2024-04,Kangasala,2
2024-04,Järvenpää,2
2024-04,Vaasa,2
2024-04,Jyväskylä,2
2024-04,Tuusula,1
2024-04,Sauvo,1
2024-04,Pirkkala,1
2024-04,Kouvola,1
2024-04,Sastamala,1
2024-04,Nurmijärvi,1
2024-04,Valkeakoski,1
2024-05,Tampere,86
2024-05,Helsinki,81
2024-05,Espoo,33
2024-05,Vantaa,16
2024-05,Turku,15
2024-05,Lempäälä,7
2024-05,Nokia,6
2024-05,Kangasala,5
2024-05,Jyväskylä,5
2024-05,Salo,3
2024-05,Sipoo,3
2024-05,Pirkkala,3
2024-05,Ylöjärvi,2
2024-05,Vaasa,2
2024-05,Raisio,2
2024-05,Lahti,2
2024-05,Tuusula,2
2024-05,Kerava,1
2024-05,Järvenpää,1
2024-05,Hyvinkää,1
2024-05,Kirkkonummi,1
2024-05,Vesilahti,1
2024-05,Nurmijärvi,1
2024-05,Pietarsaari,1
2024-05,Orivesi,1
2024-05,Naantali,1
2024-05,Orimattila,1
2024-05,Akaa,1
2024-06,Tampere,91
2024-06,Helsinki,79
2024-06,Espoo,23
2024-06,Turku,14
2024-06,Vantaa,11
2024-06,Nokia,4
2024-06,Pirkkala,4
2024-06,Hämeenlinna,3
2024-06,Kangasala,3
2024-06,Lempäälä,3
2024-06,Jyväskylä,2
2024-06,Akaa,2
2024-06,Vesilahti,1
2024-06,Kouvola,1
2024-06,Naantali,1
2024-06,Hämeenkyrö,1
2024-06,Lappeenranta,1
2024-06,Alavus,1
2024-06,Laukaa,1
2024-06,Ruovesi,1
2024-06,Vaasa,1
2024-06,Porvoo,1
2024-06,Kaarina,1
2024-06,Valkeakoski,1
2024-06,Ikaalinen,1
2024-07,Tampere,92
2024-07,Helsinki,92
2024-07,Turku,31
2024-07,Espoo,21
2024-07,Vantaa,14
2024-07,Pirkkala,5
2024-07,Jyväskylä,5
2024-07,Ylöjärvi,4
2024-07,Kirkkonummi,4
2024-07,Kauniainen,4
2024-07,Nokia,3
2024-07,Kangasala,3
2024-07,Kaarina,2
2024-07,Vaasa,2
2024-07,Lempäälä,2
2024-07,Raisio,2
2024-07,Lohja,2
2024-07,Urjala,1
2024-07,Hanko,1
2024-07,Valkeakoski,1
2024-07,Porvoo,1
2024-07,Hollola,1
2024-07,Hämeenlinna,1
2024-07,Tuusula,1
2024-07,Kouvola,1
2024-07,Kerava,1
2024-07,Nurmijärvi,1
2024-07,Uusikaupunki,1
2024-07,Orivesi,1
2024-07,Pälkäne,1
2024-07,Vesilahti,1
2024-08,Helsinki,111
2024-08,Tampere,67
2024-08,Turku,19
2024-08,Vantaa,15
2024-08,Espoo,14
2024-08,Vaasa,7
2024-08,Jyväskylä,6
2024-08,Kirkkonummi,5
2024-08,Tuusula,4
2024-08,Nokia,3
2024-08,Kangasala,3
2024-08,Pirkkala,3
2024-08,Kerava,2
2024-08,Kotka,1
2024-08,Seinäjoki,1
2024-08,Salo,1
2024-08,Ylöjärvi,1
2024-08,Lempäälä,1
2024-08,Lohja,1
2024-08,Sipoo,1
2024-08,Lahti,1
2024-08,Paimio,1
2024-08,Virrat,1
2024-08,Lieto,1
2024-09,Helsinki,138
2024-09,Tampere,80
2024-09,Espoo,28
2024-09,Vantaa,25
2024-09,Turku,25
2024-09,Kangasala,6
2024-09,Nokia,3
2024-09,Kerava,2
2024-09,Raasepori,2
2024-09,Hyvinkää,2
2024-09,Naantali,2
2024-09,Lempäälä,2
2024-09,Ylöjärvi,2
2024-09,Pirkkala,2
2024-09,Hämeenkyrö,1
2024-09,Vaasa,1
2024-09,Järvenpää,1
2024-09,Sipoo,1
2024-09,Keuruu,1
2024-09,Jyväskylä,1
2024-09,Kirkkonummi,1
2024-09,Hämeenlinna,1
2024-09,Pälkäne,1
2024-09,Lieto,1
2024-09,Kristiinankaupunki,1
2024-09,Sastamala,1
2024-09,Kauniainen,1
2024-09,Kaarina,1
2024-09,Sauvo,1
2024-10,Helsinki,144
2024-10,Tampere,100
2024-10,Espoo,41
2024-10,Turku,37
2024-10,Vantaa,19
2024-10,Nokia,10
2024-10,Vaasa,8
2024-10,Ylöjärvi,7
2024-10,Kangasala,6
2024-10,Pirkkala,5
2024-10,Jyväskylä,5
2024-10,Kauniainen,3
2024-10,Porvoo,2
2024-10,Naantali,2
2024-10,Kerava,2
2024-10,Kirkkonummi,1
2024-10,Lempäälä,1
2024-10,Lieto,1
2024-10,Lohja,1
2024-10,Oulu,1
2024-10,Kristiinankaupunki,1
2024-10,Sastamala,1
2024-10,Raasepori,1
2024-10,Tammela,1
2024-10,Valkeakoski,1
2024-10,Lahti,1
2024-10,Akaa,1
2024-10,Riihimäki,1
2024-10,Lappeenranta,1
2024-10,Salo,1
2024-11,Helsinki,137
2024-11,Tampere,105
2024-11,Espoo,32
2024-11,Turku,24
2024-11,Nokia,12
2024-11,Lempäälä,9
2024-11,Vaasa,9
2024-11,Ylöjärvi,9
2024-11,Vantaa,7
2024-11,Kangasala,5
2024-11,Jyväskylä,4
2024-11,Kaarina,4
2024-11,Pirkkala,3
2024-11,Vihti,3
2024-11,Järvenpää,3
2024-11,Kirkkonummi,2
2024-11,Vesilahti,2
2024-11,Lohja,2
2024-11,Akaa,2
2024-11,Kouvola,2
2024-11,Nurmijärvi,2
2024-11,Kauniainen,2
2024-11,Sipoo,1
2024-11,Tuusula,1
2024-11,Lappeenranta,1
2024-11,Muurame,1
2024-11,Raisio,1
2024-11,Orivesi,1
2024-11,Hyvinkää,1
2024-11,Riihimäki,1
2024-11,Paimio,1
2024-11,Hämeenkyrö,1
2024-12,Helsinki,123
2024-12,Tampere,89
2024-12,Espoo,38
2024-12,Vantaa,26
2024-12,Turku,24
2024-12,Vaasa,7
2024-12,Nokia,6
2024-12,Kangasala,6
2024-12,Jyväskylä,5
2024-12,Pirkkala,5
2024-12,Lempäälä,5
2024-12,Kerava,5
2024-12,Kauniainen,3
2024-12,Hämeenlinna,2
2024-12,Ylöjärvi,2
2024-12,Parainen,2
2024-12,Hyvinkää,2
2024-12,Lohja,1
2024-12,Humppila,1
2024-12,Orivesi,1
2024-12,Riihimäki,1
2024-12,Ikaalinen,1
2024-12,Alajärvi,1
2024-12,Valkeakoski,1
2024-12,Mikkeli,1
2024-12,Kirkkonummi,1
2024-12,Mänttä-Vilppula,1
2024-12,Vihti,1
2025-01,Helsinki,125
2025-01,Tampere,119
2025-01,Espoo,27
2025-01,Turku,19
2025-01,Vantaa,18
2025-01,Nokia,11
2025-01,Lempäälä,9
2025-01,Pirkkala,7
2025-01,Ylöjärvi,7
2025-01,Kerava,5
2025-01,Jyväskylä,4
2025-01,Kangasala,4
2025-01,Kaarina,3
2025-01,Kirkkonummi,3
2025-01,Raisio,3
2025-01,Hämeenlinna,3
2025-01,Järvenpää,2
2025-01,Tuusula,2
2025-01,Vaasa,2
2025-01,Sipoo,2
2025-01,Mustasaari,1
2025-01,Akaa,1
2025-01,Kauniainen,1
2025-01,Laitila,1
2025-01,Janakkala,1
2025-01,Vesilahti,1
2025-01,Kristiinankaupunki,1
2025-01,Pori,1
2025-02,Helsinki,151
2025-02,Tampere,90
2025-02,Espoo,26
2025-02,Turku,24
2025-02,Vantaa,16
2025-02,Vaasa,11
2025-02,Jyväskylä,11
2025-02,Pirkkala,7
2025-02,Kaarina,4
2025-02,Kirkkonummi,4
2025-02,Ylöjärvi,3
2025-02,Kangasala,3
2025-02,Sipoo,3
2025-02,Vihti,3
2025-02,Nokia,3
2025-02,Nurmijärvi,3
2025-02,Orivesi,2
2025-02,Hämeenlinna,2
2025-02,Pori,2
2025-02,Lempäälä,2
2025-02,Järvenpää,1
2025-02,Kerava,1
2025-02,Hyvinkää,1
2025-02,Tuusula,1
2025-02,Kauniainen,1
2025-02,Forssa,1
2025-02,Hollola,1
2025-02,Jämsä,1
2025-03,Helsinki,152
2025-03,Tampere,131
2025-03,Turku,39
2025-03,Espoo,39
2025-03,Vantaa,26
2025-03,Vaasa,14
2025-03,Kerava,10
2025-03,Kangasala,10
2025-03,Jyväskylä,8
2025-03,Nokia,6
2025-03,Ylöjärvi,4
2025-03,Lahti,3
2025-03,Tuusula,3
2025-03,Pirkkala,3
2025-03,Naantali,2
2025-03,Raisio,2
2025-03,Lempäälä,2
2025-03,Kirkkonummi,2
2025-03,Akaa,2
2025-03,Orivesi,1
2025-03,Masku,1
2025-03,Kaarina,1
2025-03,Eura,1
2025-03,Vihti,1
2025-03,Hyvinkää,1
2025-03,Järvenpää,1
2025-03,Vesilahti,1
2025-03,Karkkila,1
2025-03,Valkeakoski,1
2025-03,Riihimäki,1
2025-03,Mikkeli,1
2025-03,Kauniainen,1
2025-03,Porvoo,1
2025-04,Helsinki,163
2025-04,Tampere,103
2025-04,Espoo,47
2025-04,Turku,42
2025-04,Vantaa,39
2025-04,Vaasa,12
2025-04,Nokia,10
2025-04,Kirkkonummi,4
2025-04,Kaarina,4
2025-04,Ylöjärvi,4
2025-04,Pirkkala,3
2025-04,Kangasala,3
2025-04,Lempäälä,3
2025-04,Järvenpää,2
2025-04,Jyväskylä,2
2025-04,Kerava,2
2025-04,Raisio,2
2025-04,Pöytyä,2
2025-04,Porvoo,1
2025-04,Valkeakoski,1
2025-04,Salo,1
2025-04,Mäntsälä,1
2025-04,Sauvo,1
2025-04,Lohja,1
2025-04,Orivesi,1
2025-04,Rusko,1
2025-04,Äänekoski,1
