phrase,frequency,comments_mentioning,share_of_comments_pct
ystävällinen palvelu,63,58,4.3
muutto sujui,36,35,2.6
nuoria miehiä,30,29,2.2
helppo tilata,29,29,2.2
todella mukavia,28,25,1.9
sujui hyvin,27,27,2.0
helppo varata,24,24,1.8
homma hoitui,24,24,1.8
sujui nopeasti,22,22,1.6
hyvä palvelu,21,21,1.6
ystävällistä palvelua,19,18,1.3
reippaita ystävällisiä,19,19,1.4
iso kiitos,19,18,1.3
erittäin ystävällisiä,18,18,1.3
hyvä asiakaspalvelu,17,15,1.1
hoitivat homman,17,17,1.3
sovittuna aikana,16,16,1.2
nuoret miehet,16,16,1.2
nopea palvelu,16,15,1.1
kaikin puolin,16,16,1.2
erittäin hyvä,16,15,1.1
nopea tehokas,16,16,1.2
homma sujui,15,15,1.1
todella hyvin,15,14,1.0
nopeaa toimintaa,15,15,1.1
todella ystävällisiä,15,13,1.0
ystävällisiä reippaita,14,14,1.0
hoitivat muuton,14,13,1.0
oikein mukavia,14,14,1.0
palvelu erittäin,13,13,1.0
sovittuun aikaan,13,13,1.0
ripeää toimintaa,13,13,1.0
todella hyvä,13,12,0.9
nopea ystävällinen,13,13,1.0
ystävällisiä tehokkaita,12,12,0.9
ajoissa paikalla,12,12,0.9
ystävällinen avulias,12,12,0.9
mukavia ystävällisiä,12,12,0.9
mukavia reippaita,12,12,0.9
ystävällisiä kohteliaita,11,10,0.7
nopeaa ystävällistä,11,11,0.8
erittäin ystävällinen,11,10,0.7
mukavat reippaat,10,10,0.7
asiallisia ystävällisiä,10,10,0.7
reippaita kohteliaita,10,10,0.7
ystävällisiä ammattitaitoisia,10,10,0.7
sujui ripeästi,10,10,0.7
reippaat ystävälliset,9,8,0.6
lyhyellä varoitusajalla,9,9,0.7
hyvää palvelua,9,9,0.7
työntekijät ystävällisiä,9,9,0.7
hoitui nopeasti,9,9,0.7
reippaita mukavia,9,9,0.7
kohteliaita mukavia,9,9,0.7
hyvin ystävällisiä,9,9,0.7
työntekijät hoitivat,9,9,0.7
erittäin hyvin,9,8,0.6
mukavia asiallisia,9,9,0.7
nopealla aikataululla,9,9,0.7
loistava palvelu,9,9,0.7
palvelu helppo,9,9,0.7
työntekijät todella,9,9,0.7
helppo nopea,9,9,0.7
ystävällinen kohtelias,8,8,0.6
kohteliaita asiallisia,8,8,0.6
alusta loppuun,8,8,0.6
erittäin mukavia,8,8,0.6
kohteliaita reippaita,8,8,0.6
ystävällisiä asiallisia,8,8,0.6
erittäin hyviä,8,8,0.6
palvelu nopeaa,8,8,0.6
homma toimi,8,8,0.6
ystävällisiä ripeitä,8,8,0.6
ammattitaitoiset työntekijät,8,8,0.6
