month,theme,comments_mentioning,comments_total,share_pct
2024-09,Ystävällisyys,3,4,75.0
2024-09,Nopeus & täsmällisyys,2,4,50.0
2024-09,Ammattitaito,2,4,50.0
2024-09,Tehokkuus & reippaus,2,4,50.0
2024-09,Helppous & sujuvuus,2,4,50.0
2024-09,Huolellisuus,0,4,0.0
2024-09,Joustavuus,0,4,0.0
2024-09,Viestintä,1,4,25.0
2024-09,Hinta,0,4,0.0
2024-09,Luotettavuus,1,4,25.0
2024-09,Avuliaisuus,1,4,25.0
2025-01,Ystävällisyys,139,189,73.5
2025-01,Nopeus & täsmällisyys,128,189,67.7
2025-01,Ammattitaito,60,189,31.7
2025-01,Tehokkuus & reippaus,65,189,34.4
2025-01,Helppous & sujuvuus,59,189,31.2
2025-01,Huolellisuus,14,189,7.4
2025-01,Joustavuus,4,189,2.1
2025-01,Viestintä,10,189,5.3
2025-01,Hinta,9,189,4.8
2025-01,Luotettavuus,18,189,9.5
2025-01,Avuliaisuus,4,189,2.1
2025-04,Ystävällisyys,39,72,54.2
2025-04,Nopeus & täsmällisyys,41,72,56.9
2025-04,Ammattitaito,29,72,40.3
2025-04,Tehokkuus & reippaus,18,72,25.0
2025-04,Helppous & sujuvuus,15,72,20.8
2025-04,Huolellisuus,5,72,6.9
2025-04,Joustavuus,3,72,4.2
2025-04,Viestintä,4,72,5.6
2025-04,Hinta,6,72,8.3
2025-04,Luotettavuus,2,72,2.8
2025-04,Avuliaisuus,4,72,5.6
2025-05,Ystävällisyys,79,122,64.8
2025-05,Nopeus & täsmällisyys,83,122,68.0
2025-05,Ammattitaito,39,122,32.0
2025-05,Tehokkuus & reippaus,37,122,30.3
2025-05,Helppous & sujuvuus,48,122,39.3
2025-05,Huolellisuus,16,122,13.1
2025-05,Joustavuus,6,122,4.9
2025-05,Viestintä,3,122,2.5
2025-05,Hinta,14,122,11.5
2025-05,Luotettavuus,10,122,8.2
2025-05,Avuliaisuus,7,122,5.7
2025-06,Ystävällisyys,78,114,68.4
2025-06,Nopeus & täsmällisyys,70,114,61.4
2025-06,Ammattitaito,32,114,28.1
2025-06,Tehokkuus & reippaus,36,114,31.6
2025-06,Helppous & sujuvuus,33,114,28.9
2025-06,Huolellisuus,10,114,8.8
2025-06,Joustavuus,2,114,1.8
2025-06,Viestintä,9,114,7.9
2025-06,Hinta,10,114,8.8
2025-06,Luotettavuus,8,114,7.0
2025-06,Avuliaisuus,6,114,5.3
2025-07,Ystävällisyys,61,107,57.0
2025-07,Nopeus & täsmällisyys,62,107,57.9
2025-07,Ammattitaito,36,107,33.6
2025-07,Tehokkuus & reippaus,35,107,32.7
2025-07,Helppous & sujuvuus,39,107,36.4
2025-07,Huolellisuus,10,107,9.3
2025-07,Joustavuus,6,107,5.6
2025-07,Viestintä,7,107,6.5
2025-07,Hinta,10,107,9.3
2025-07,Luotettavuus,12,107,11.2
2025-07,Avuliaisuus,7,107,6.5
2025-08,Ystävällisyys,79,121,65.3
2025-08,Nopeus & täsmällisyys,81,121,66.9
2025-08,Ammattitaito,36,121,29.8
2025-08,Tehokkuus & reippaus,29,121,24.0
2025-08,Helppous & sujuvuus,43,121,35.5
2025-08,Huolellisuus,8,121,6.6
2025-08,Joustavuus,7,121,5.8
2025-08,Viestintä,9,121,7.4
2025-08,Hinta,12,121,9.9
2025-08,Luotettavuus,10,121,8.3
2025-08,Avuliaisuus,16,121,13.2
2025-09,Ystävällisyys,69,103,67.0
2025-09,Nopeus & täsmällisyys,60,103,58.3
2025-09,Ammattitaito,33,103,32.0
2025-09,Tehokkuus & reippaus,28,103,27.2
2025-09,Helppous & sujuvuus,26,103,25.2
2025-09,Huolellisuus,8,103,7.8
2025-09,Joustavuus,4,103,3.9
2025-09,Viestintä,7,103,6.8
2025-09,Hinta,9,103,8.7
2025-09,Luotettavuus,8,103,7.8
2025-09,Avuliaisuus,8,103,7.8
