month,theme,comments_mentioning
2025-01,Ystävällisyys,142
2025-01,Nopeus & täsmällisyys,130
2025-01,Ammattitaito,62
2025-01,Helppous & sujuvuus,61
2025-01,Tehokkuus & reippaus,67
2025-01,Hinta,9
2025-01,Huolellisuus,14
2025-01,Luotettavuus,19
2025-01,Viestintä,11
2025-01,Avuliaisuus,5
2025-01,Joustavuus,4
2025-04,Ystävällisyys,39
2025-04,Nopeus & täsmällisyys,40
2025-04,Ammattitaito,28
2025-04,Helppous & sujuvuus,15
2025-04,Tehokkuus & reippaus,17
2025-04,Hinta,5
2025-04,Huolellisuus,5
2025-04,Luotettavuus,1
2025-04,Viestintä,4
2025-04,Avuliaisuus,4
2025-04,Joustavuus,3
2025-05,Ystävällisyys,77
2025-05,Nopeus & täsmällisyys,83
2025-05,Ammattitaito,40
2025-05,Helppous & sujuvuus,48
2025-05,Tehokkuus & reippaus,38
2025-05,Hinta,15
2025-05,Huolellisuus,16
2025-05,Luotettavuus,10
2025-05,Viestintä,3
2025-05,Avuliaisuus,7
2025-05,Joustavuus,6
2025-06,Ystävällisyys,78
2025-06,Nopeus & täsmällisyys,70
2025-06,Ammattitaito,32
2025-06,Helppous & sujuvuus,33
2025-06,Tehokkuus & reippaus,36
2025-06,Hinta,10
2025-06,Huolellisuus,10
2025-06,Luotettavuus,8
2025-06,Viestintä,9
2025-06,Avuliaisuus,6
2025-06,Joustavuus,2
2025-07,Ystävällisyys,15
2025-07,Nopeus & täsmällisyys,14
2025-07,Ammattitaito,7
2025-07,Helppous & sujuvuus,12
2025-07,Tehokkuus & reippaus,10
2025-07,Hinta,2
2025-07,Huolellisuus,2
2025-07,Luotettavuus,4
2025-07,Viestintä,1
2025-07,Avuliaisuus,3
2025-07,Joustavuus,2
2025-08,Ystävällisyys,57
2025-08,Nopeus & täsmällisyys,62
2025-08,Ammattitaito,37
2025-08,Helppous & sujuvuus,34
2025-08,Tehokkuus & reippaus,30
2025-08,Hinta,9
2025-08,Huolellisuus,8
2025-08,Luotettavuus,8
2025-08,Viestintä,8
2025-08,Avuliaisuus,4
2025-08,Joustavuus,5
2025-11,Ystävällisyys,222
2025-11,Nopeus & täsmällisyys,215
2025-11,Ammattitaito,105
2025-11,Helppous & sujuvuus,98
2025-11,Tehokkuus & reippaus,89
2025-11,Hinta,28
2025-11,Huolellisuus,26
2025-11,Luotettavuus,27
2025-11,Viestintä,19
2025-11,Avuliaisuus,32
2025-11,Joustavuus,13
2025-12,Ystävällisyys,41
2025-12,Nopeus & täsmällisyys,37
2025-12,Ammattitaito,19
2025-12,Helppous & sujuvuus,27
2025-12,Tehokkuus & reippaus,12
2025-12,Hinta,5
2025-12,Huolellisuus,6
2025-12,Luotettavuus,3
2025-12,Viestintä,6
2025-12,Avuliaisuus,8
2025-12,Joustavuus,4
2026-01,Ystävällisyys,33
2026-01,Nopeus & täsmällisyys,30
2026-01,Ammattitaito,18
2026-01,Helppous & sujuvuus,14
2026-01,Tehokkuus & reippaus,11
2026-01,Hinta,6
2026-01,Huolellisuus,4
2026-01,Luotettavuus,4
2026-01,Viestintä,1
2026-01,Avuliaisuus,1
2026-01,Joustavuus,2
2026-02,Ystävällisyys,39
2026-02,Nopeus & täsmällisyys,33
2026-02,Ammattitaito,12
2026-02,Helppous & sujuvuus,23
2026-02,Tehokkuus & reippaus,11
2026-02,Hinta,8
2026-02,Huolellisuus,4
2026-02,Luotettavuus,2
2026-02,Viestintä,4
2026-02,Avuliaisuus,2
2026-02,Joustavuus,4
2026-03,Ystävällisyys,36
2026-03,Nopeus & täsmällisyys,38
2026-03,Ammattitaito,21
2026-03,Helppous & sujuvuus,14
2026-03,Tehokkuus & reippaus,8
2026-03,Hinta,3
2026-03,Huolellisuus,5
2026-03,Luotettavuus,6
2026-03,Viestintä,5
2026-03,Avuliaisuus,2
2026-03,Joustavuus,3
2026-04,Ystävällisyys,41
2026-04,Nopeus & täsmällisyys,41
2026-04,Ammattitaito,15
2026-04,Helppous & sujuvuus,15
2026-04,Tehokkuus & reippaus,21
2026-04,Hinta,2
2026-04,Huolellisuus,2
2026-04,Luotettavuus,5
2026-04,Viestintä,1
2026-04,Avuliaisuus,5
2026-04,Joustavuus,0
2026-05,Ystävällisyys,20
2026-05,Nopeus & täsmällisyys,18
2026-05,Ammattitaito,8
2026-05,Helppous & sujuvuus,8
2026-05,Tehokkuus & reippaus,7
2026-05,Hinta,3
2026-05,Huolellisuus,2
2026-05,Luotettavuus,4
2026-05,Viestintä,6
2026-05,Avuliaisuus,1
2026-05,Joustavuus,0
2026-06,Ystävällisyys,8
2026-06,Nopeus & täsmällisyys,7
2026-06,Ammattitaito,8
2026-06,Helppous & sujuvuus,7
2026-06,Tehokkuus & reippaus,2
2026-06,Hinta,4
2026-06,Huolellisuus,3
2026-06,Luotettavuus,1
2026-06,Viestintä,2
2026-06,Avuliaisuus,0
2026-06,Joustavuus,1
2026-07,Ystävällisyys,3
2026-07,Nopeus & täsmällisyys,5
2026-07,Ammattitaito,3
2026-07,Helppous & sujuvuus,2
2026-07,Tehokkuus & reippaus,1
2026-07,Hinta,2
2026-07,Huolellisuus,0
2026-07,Luotettavuus,2
2026-07,Viestintä,2
2026-07,Avuliaisuus,0
2026-07,Joustavuus,0
2026-08,Ystävällisyys,5
2026-08,Nopeus & täsmällisyys,8
2026-08,Ammattitaito,2
2026-08,Helppous & sujuvuus,6
2026-08,Tehokkuus & reippaus,5
2026-08,Hinta,2
2026-08,Huolellisuus,0
2026-08,Luotettavuus,1
2026-08,Viestintä,2
2026-08,Avuliaisuus,0
2026-08,Joustavuus,0
2026-09,Ystävällisyys,7
2026-09,Nopeus & täsmällisyys,6
2026-09,Ammattitaito,7
2026-09,Helppous & sujuvuus,3
2026-09,Tehokkuus & reippaus,1
2026-09,Hinta,2
2026-09,Huolellisuus,0
2026-09,Luotettavuus,2
2026-09,Viestintä,0
2026-09,Avuliaisuus,2
2026-09,Joustavuus,0
