term,frequency,comments_mentioning,share_of_comments_pct
ystävällisiä,677,521,38.8
palvelu,459,389,29.0
nopea,384,359,26.7
mukavia,342,302,22.5
muutto,296,216,16.1
toimi,239,220,16.4
ammattitaitoisia,237,203,15.1
kohteliaita,226,193,14.4
reippaita,208,186,13.8
työntekijät,198,183,13.6
sujui,197,186,13.8
kuljetus,194,160,11.9
hyvä,172,153,11.4
aikataulu,168,164,12.2
asiallisia,167,153,11.4
tehokkaita,158,136,10.1
asiakaspalvelu,157,138,10.3
helppo,156,154,11.5
sovitusti,144,140,10.4
tavarat,139,118,8.8
ripeästi,133,127,9.5
kuski,125,102,7.6
homma,122,116,8.6
täsmällinen,120,114,8.5
kiitos,107,100,7.4
kantajat,102,91,6.8
ajallaan,95,93,6.9
hoitivat,93,89,6.6
huolellisia,91,79,5.9
erinomainen,87,77,5.7
sujuva,87,84,6.3
osaavia,86,80,6.0
paikalla,77,74,5.5
hinta,76,75,5.6
loistava,76,69,5.1
avulias,75,67,5.0
muuton,68,62,4.6
hoitui,67,66,4.9
luotettava,66,60,4.5
apukuskit,63,57,4.2
nopeus,60,60,4.5
suosittelen,59,57,4.2
reipas,59,56,4.2
nuoria,56,54,4.0
asiansa,56,48,3.6
kavereita,56,51,3.8
selkeä,55,50,3.7
ahkeria,53,48,3.6
hyvää,52,47,3.5
joustavuus,52,50,3.7
miehiä,50,49,3.6
tilata,49,47,3.5
miehet,47,46,3.4
tilauksen,46,40,3.0
itse,46,42,3.1
ajoissa,46,45,3.4
ripeitä,45,45,3.4
hyviä,43,43,3.2
vastattiin,43,41,3.1
hienosti,43,42,3.1
saapui,40,39,2.9
varata,40,40,3.0
onnistui,38,37,2.8
nopeita,38,38,2.8
päivälle,38,36,2.7
kantoivat,34,32,2.4
kaikin,34,33,2.5
tarjous,34,29,2.2
iloisia,34,31,2.3
edullinen,34,34,2.5
the,33,12,0.9
and,33,19,1.4
hyvät,33,32,2.4
henkilöt,32,30,2.2
puhelimessa,32,30,2.2
yhteydenpito,32,32,2.4
varaus,32,31,2.3
iso,32,28,2.1
vielä,31,29,2.2
aikaan,31,30,2.2
huonekalut,31,31,2.3
hyväntuulisia,31,30,2.2
huippuja,31,29,2.2
sain,30,27,2.0
aikana,30,30,2.2
