month,age,sessions,total_users,engaged_sessions,begin_checkout
2024-01,18-24,131,79,101,1
2024-01,25-34,570,372,469,2
2024-01,35-44,433,299,364,0
2024-01,45-54,438,317,379,1
2024-01,55-64,753,530,655,0
2024-01,65+,1204,850,1024,3
2024-01,unknown,4838,3496,3971,97
2024-02,18-24,96,60,81,0
2024-02,25-34,589,314,506,4
2024-02,35-44,383,229,345,2
2024-02,45-54,438,260,371,6
2024-02,55-64,761,454,675,4
2024-02,65+,847,526,737,2
2024-02,unknown,6753,4585,4802,46
2024-03,18-24,140,77,120,4
2024-03,25-34,649,325,541,5
2024-03,35-44,437,224,367,3
2024-03,45-54,541,284,462,4
2024-03,55-64,789,458,673,6
2024-03,65+,736,452,626,2
2024-03,unknown,5729,3456,4621,32
2024-04,18-24,99,56,88,1
2024-04,25-34,659,349,555,7
2024-04,35-44,503,260,424,5
2024-04,45-54,510,298,454,0
2024-04,55-64,1138,656,991,3
2024-04,65+,1151,689,962,1
2024-04,unknown,6386,3824,5228,43
2024-05,18-24,119,65,104,1
2024-05,25-34,700,377,614,8
2024-05,35-44,470,241,392,3
2024-05,45-54,596,336,517,6
2024-05,55-64,1272,757,1077,5
2024-05,65+,1635,974,1404,8
2024-05,unknown,6147,3658,5050,54
2024-06,18-24,105,62,93,7
2024-06,25-34,539,279,461,8
2024-06,35-44,291,191,237,2
2024-06,45-54,380,239,314,0
2024-06,55-64,990,583,802,5
2024-06,65+,911,550,751,7
2024-06,unknown,4599,2738,3612,50
2024-07,18-24,85,48,73,3
2024-07,25-34,475,240,409,4
2024-07,35-44,282,135,239,7
2024-07,45-54,333,182,290,8
2024-07,55-64,671,384,578,6
2024-07,65+,659,366,571,4
2024-07,unknown,6243,3583,5199,57
2024-08,18-24,114,62,99,1
2024-08,25-34,703,358,611,8
2024-08,35-44,335,190,280,3
2024-08,45-54,491,248,423,6
2024-08,55-64,1024,548,906,4
2024-08,65+,938,505,806,7
2024-08,unknown,6202,3527,5233,78
2024-09,18-24,94,51,83,1
2024-09,25-34,797,388,666,7
2024-09,35-44,345,188,293,6
2024-09,45-54,379,201,322,4
2024-09,55-64,935,522,820,16
2024-09,65+,684,385,575,9
2024-09,unknown,5982,3409,4993,77
2024-10,18-24,111,69,84,2
2024-10,25-34,665,360,567,10
2024-10,35-44,372,196,301,6
2024-10,45-54,517,278,453,3
2024-10,55-64,1032,597,896,8
2024-10,65+,911,515,766,6
2024-10,unknown,6436,3727,5323,90
2024-11,18-24,104,55,92,0
2024-11,25-34,693,306,607,18
2024-11,35-44,304,176,267,4
2024-11,45-54,559,300,483,11
2024-11,55-64,743,418,655,6
2024-11,65+,666,382,576,6
2024-11,unknown,5938,3147,4801,74
2024-12,18-24,114,55,104,3
2024-12,25-34,553,267,482,7
2024-12,35-44,307,160,260,5
2024-12,45-54,464,252,389,5
2024-12,55-64,563,312,496,2
2024-12,65+,631,339,540,5
2024-12,unknown,4852,2674,4116,73
2025-01,18-24,149,78,120,2
2025-01,25-34,820,422,696,7
2025-01,35-44,395,223,352,4
2025-01,45-54,844,466,721,8
2025-01,55-64,1236,649,1048,17
2025-01,65+,1012,572,865,7
2025-01,unknown,7593,4234,6347,67
2025-02,18-24,82,49,71,2
2025-02,25-34,747,407,636,9
2025-02,35-44,456,269,393,6
2025-02,45-54,808,419,678,7
2025-02,55-64,969,564,825,9
2025-02,65+,690,398,598,7
2025-02,unknown,6101,3627,5110,62
2025-03,18-24,62,47,56,1
2025-03,25-34,521,266,475,14
2025-03,35-44,218,137,198,14
2025-03,45-54,346,244,317,11
2025-03,55-64,301,214,272,6
2025-03,65+,247,171,225,9
2025-03,unknown,2704,2011,2411,81
2025-04,18-24,110,33,98,0
2025-04,25-34,353,163,308,11
2025-04,35-44,170,86,134,4
2025-04,45-54,257,164,231,11
2025-04,55-64,271,168,245,15
2025-04,65+,261,182,226,8
2025-04,unknown,2071,1424,1778,104
2025-05,18-24,101,30,80,1
2025-05,25-34,358,154,302,10
2025-05,35-44,198,105,177,12
2025-05,45-54,283,167,245,12
2025-05,55-64,336,217,289,14
2025-05,65+,287,171,249,4
2025-05,unknown,2451,1587,2102,107
2025-06,18-24,92,38,76,16
2025-06,25-34,456,204,367,18
2025-06,35-44,190,119,159,6
2025-06,45-54,317,191,266,12
2025-06,55-64,465,278,397,25
2025-06,65+,387,221,319,12
2025-06,unknown,2988,1781,2450,136
2025-07,18-24,99,44,78,11
2025-07,25-34,474,246,391,19
2025-07,35-44,296,151,252,9
2025-07,45-54,414,259,348,16
2025-07,55-64,582,340,494,22
2025-07,65+,437,264,357,12
2025-07,unknown,3640,2244,3061,209
2025-08,18-24,72,40,63,3
2025-08,25-34,427,233,361,18
2025-08,35-44,298,173,257,14
2025-08,45-54,531,279,442,21
2025-08,55-64,564,354,482,21
2025-08,65+,399,240,324,12
2025-08,unknown,4018,2632,3377,208
2025-09,18-24,81,50,64,3
2025-09,25-34,307,207,261,14
2025-09,35-44,208,129,174,9
2025-09,45-54,375,215,308,8
2025-09,55-64,420,275,349,14
2025-09,65+,398,249,331,18
2025-09,unknown,3781,2517,3210,208
2025-10,18-24,54,34,43,4
2025-10,25-34,447,241,386,22
2025-10,35-44,257,149,209,13
2025-10,45-54,345,226,297,10
2025-10,55-64,604,419,502,23
2025-10,65+,547,405,454,14
2025-10,unknown,3873,2891,3311,153
2025-11,18-24,68,41,56,3
2025-11,25-34,433,278,364,21
2025-11,35-44,268,168,221,22
2025-11,45-54,442,287,374,18
2025-11,55-64,489,341,417,15
2025-11,65+,431,268,358,9
2025-11,unknown,3592,2611,3017,192
2025-12,18-24,46,30,41,3
2025-12,25-34,435,250,361,23
2025-12,35-44,246,174,204,7
2025-12,45-54,365,241,312,13
2025-12,55-64,455,308,385,14
2025-12,65+,370,262,314,17
2025-12,unknown,3718,2750,3190,166
2026-01,18-24,44,30,41,1
2026-01,25-34,266,168,230,10
2026-01,35-44,153,116,131,5
2026-01,45-54,273,174,237,5
2026-01,55-64,283,220,234,10
2026-01,65+,271,185,230,8
2026-01,unknown,4432,3281,3843,176
2026-02,18-24,110,55,93,8
2026-02,25-34,360,238,309,13
2026-02,35-44,217,145,179,9
2026-02,45-54,383,247,319,8
2026-02,55-64,447,310,376,18
2026-02,65+,377,247,313,18
2026-02,unknown,3550,2603,3084,159
2026-03,18-24,137,52,109,11
2026-03,25-34,361,262,319,7
2026-03,35-44,219,155,185,5
2026-03,45-54,492,298,412,15
2026-03,55-64,529,364,452,14
2026-03,65+,391,287,329,10
2026-03,unknown,3668,2704,3173,212
2026-04,18-24,107,62,95,5
2026-04,25-34,519,285,445,16
2026-04,35-44,234,162,207,5
2026-04,45-54,466,269,404,23
2026-04,55-64,482,307,429,16
2026-04,65+,365,246,315,9
2026-04,unknown,3175,2373,2753,130
2026-05,18-24,90,60,78,8
2026-05,25-34,518,269,448,16
2026-05,35-44,305,190,262,4
2026-05,45-54,560,321,490,13
2026-05,55-64,553,329,481,17
2026-05,65+,409,245,351,9
2026-05,unknown,3618,2526,3113,165
2026-06,18-24,70,50,58,5
2026-06,25-34,462,275,413,20
2026-06,35-44,341,177,297,17
2026-06,45-54,564,326,481,24
2026-06,55-64,472,305,406,21
2026-06,65+,388,232,339,6
2026-06,unknown,3603,2480,3133,223
