month,gender,sessions,total_users,engaged_sessions,begin_checkout
2024-01,female,2458,1643,2108,9
2024-01,male,1160,812,961,3
2024-01,unknown,4773,3438,3906,92
2024-02,female,2170,1210,1897,12
2024-02,male,1025,656,889,6
2024-02,unknown,6660,4539,4712,46
2024-03,female,1952,1058,1678,11
2024-03,male,1393,761,1150,14
2024-03,unknown,5672,3423,4588,31
2024-04,female,2559,1459,2224,15
2024-04,male,1540,842,1287,3
2024-04,unknown,6345,3794,5190,42
2024-05,female,3109,1767,2716,24
2024-05,male,1667,954,1425,9
2024-05,unknown,6109,3638,5020,52
2024-06,female,2034,1134,1691,28
2024-06,male,1241,761,1019,5
2024-06,unknown,4515,2708,3557,46
2024-07,female,1602,849,1373,21
2024-07,male,974,522,847,11
2024-07,unknown,6171,3552,5133,57
2024-08,female,2224,1133,1955,24
2024-08,male,1447,770,1228,5
2024-08,unknown,6165,3494,5208,78
2024-09,female,2081,1044,1751,32
2024-09,male,1288,693,1120,16
2024-09,unknown,5850,3370,4882,72
2024-10,female,2427,1249,2077,23
2024-10,male,1239,744,1041,13
2024-10,unknown,6367,3696,5275,89
2024-11,female,1911,964,1679,28
2024-11,male,1199,657,1038,18
2024-11,unknown,5885,3118,4754,73
2024-12,female,1693,842,1458,20
2024-12,male,1039,544,891,13
2024-12,unknown,4765,2644,4041,67
2025-01,female,2728,1466,2362,33
2025-01,male,1815,944,1512,16
2025-01,unknown,7510,4189,6255,63
2025-02,female,1996,1066,1729,26
2025-02,male,1809,1034,1519,15
2025-02,unknown,6038,3597,5043,61
2025-03,female,1005,627,923,42
2025-03,male,724,443,653,17
2025-03,unknown,2670,1990,2378,77
2025-04,female,828,502,724,31
2025-04,male,642,301,560,21
2025-04,unknown,2026,1405,1737,101
2025-05,female,948,519,831,35
2025-05,male,673,315,566,19
2025-05,unknown,2394,1575,2048,106
2025-06,female,1226,663,1047,60
2025-06,male,711,368,560,29
2025-06,unknown,2955,1769,2425,136
2025-07,female,1566,848,1324,56
2025-07,male,777,442,637,35
2025-07,unknown,3594,2218,3025,207
2025-08,female,1457,821,1251,61
2025-08,male,891,496,727,34
2025-08,unknown,3971,2604,3325,202
2025-09,female,1165,678,989,43
2025-09,male,661,440,531,25
2025-09,unknown,3739,2503,3179,206
2025-10,female,1452,909,1246,51
2025-10,male,816,546,661,35
2025-10,unknown,3866,2882,3305,153
2025-11,female,1328,850,1129,58
2025-11,male,850,527,703,33
2025-11,unknown,3548,2582,2973,189
2025-12,female,1157,747,979,52
2025-12,male,817,520,687,29
2025-12,unknown,3672,2728,3158,162
2026-01,female,816,554,700,26
2026-01,male,495,333,419,14
2026-01,unknown,4420,3269,3831,175
2026-02,female,1173,755,1005,39
2026-02,male,738,475,598,36
2026-02,unknown,3519,2587,3067,158
2026-03,female,1266,821,1097,42
2026-03,male,900,577,740,38
2026-03,unknown,3623,2683,3146,194
2026-04,female,1310,770,1150,54
2026-04,male,892,551,772,20
2026-04,unknown,3149,2351,2724,130
2026-05,female,1492,847,1304,39
2026-05,male,993,577,851,29
2026-05,unknown,3566,2496,3069,164
2026-06,female,1495,816,1317,56
2026-06,male,848,543,718,38
2026-06,unknown,3572,2454,3097,222
2026-07,female,1460,843,1291,36
2026-07,male,805,511,684,32
2026-07,unknown,3792,2823,3203,176
2026-08,female,1629,882,1462,56
2026-08,male,925,566,779,22
2026-08,unknown,4524,3296,3846,214
2026-09,female,1247,745,1081,38
2026-09,male,702,443,581,22
2026-09,unknown,2928,2088,2472,125
