month,service_group,channel,orders,revenue_eur
2024-01,boxes,manual,13,300.92
2024-01,business,platform,16,0.0
2024-01,business,manual,17,1487.77
2024-01,carry_help,manual,3,109.9
2024-01,muutto,platform,21,0.0
2024-01,muutto,manual,41,10142.5
2024-01,recommerce,platform,33,0.0
2024-01,recommerce,manual,21,2653.11
2024-01,recycling,manual,9,260.94
2024-01,recycling,platform,7,0.0
2024-01,social_services,manual,4,0.0
2024-01,unclassified,manual,12,0.0
2024-02,boxes,manual,19,0.0
2024-02,business,manual,5,908.82
2024-02,business,platform,10,0.0
2024-02,carry_help,manual,5,0.0
2024-02,muutto,manual,83,8859.37
2024-02,muutto,platform,15,0.0
2024-02,other,manual,3,0.0
2024-02,recommerce,platform,28,0.0
2024-02,recommerce,manual,25,2117.18
2024-02,recycling,platform,8,0.0
2024-02,recycling,manual,16,1409.35
2024-02,social_services,manual,3,0.0
2024-02,unclassified,manual,12,0.0
2024-03,boxes,manual,6,0.0
2024-03,business,manual,18,710.29
2024-03,business,platform,7,0.0
2024-03,carry_help,manual,10,440.26
2024-03,muutto,platform,14,0.0
2024-03,muutto,manual,60,6671.21
2024-03,other,manual,1,0.0
2024-03,recommerce,platform,20,0.0
2024-03,recommerce,manual,20,1145.05
2024-03,recycling,platform,8,0.0
2024-03,recycling,manual,6,253.31
2024-03,social_services,manual,1,0.0
2024-03,unclassified,manual,3,60.0
2024-04,boxes,manual,18,199.2
2024-04,business,platform,6,0.0
2024-04,business,manual,20,0.0
2024-04,carry_help,manual,3,65.0
2024-04,muutto,manual,72,7870.65
2024-04,muutto,platform,21,0.0
2024-04,recommerce,platform,35,0.0
2024-04,recommerce,manual,21,1848.88
2024-04,recycling,platform,7,0.0
2024-04,recycling,manual,6,0.0
2024-04,social_services,manual,5,350.0
2024-04,unclassified,manual,1,0.0
2024-05,boxes,manual,18,229.0
2024-05,business,manual,10,579.74
2024-05,business,platform,10,0.0
2024-05,carry_help,manual,6,0.0
2024-05,muutto,manual,83,4826.21
2024-05,muutto,platform,28,0.0
2024-05,other,manual,2,0.0
2024-05,recommerce,platform,52,0.0
2024-05,recommerce,manual,40,1047.19
2024-05,recycling,manual,7,0.0
2024-05,recycling,platform,10,0.0
2024-05,social_services,manual,1,0.0
2024-05,unclassified,manual,22,89.9
2024-06,boxes,manual,23,222.9
2024-06,business,manual,4,0.0
2024-06,business,platform,9,0.0
2024-06,carry_help,manual,8,212.47
2024-06,muutto,platform,29,0.0
2024-06,muutto,manual,83,5005.11
2024-06,other,manual,10,0.0
2024-06,recommerce,manual,28,717.68
2024-06,recommerce,platform,37,0.0
2024-06,recycling,manual,10,0.0
2024-06,recycling,platform,3,0.0
2024-06,social_services,manual,1,0.0
2024-06,unclassified,manual,18,0.0
2024-07,boxes,manual,17,318.75
2024-07,business,manual,14,543.75
2024-07,business,platform,4,0.0
2024-07,carry_help,manual,11,0.0
2024-07,muutto,manual,65,3851.58
2024-07,muutto,platform,31,0.0
2024-07,recommerce,manual,24,686.0
2024-07,recommerce,platform,67,0.0
2024-07,recycling,platform,11,0.0
2024-07,recycling,manual,10,0.0
2024-07,social_services,manual,2,0.0
2024-07,unclassified,manual,9,138.3
2024-08,boxes,manual,16,201.5
2024-08,business,manual,8,0.0
2024-08,business,platform,3,0.0
2024-08,carry_help,manual,5,179.9
2024-08,muutto,platform,29,0.0
2024-08,muutto,manual,43,2018.57
2024-08,recommerce,platform,70,0.0
2024-08,recommerce,manual,18,363.69
2024-08,recycling,manual,3,0.0
2024-08,recycling,platform,14,0.0
2024-08,social_services,manual,2,0.0
2024-08,unclassified,manual,4,65.0
2024-09,boxes,manual,21,381.25
2024-09,business,manual,16,0.0
2024-09,business,platform,6,0.0
2024-09,carry_help,manual,10,40.0
2024-09,muutto,manual,82,3322.7
2024-09,muutto,platform,32,0.0
2024-09,other,manual,9,0.0
2024-09,recommerce,platform,74,0.0
2024-09,recommerce,manual,24,391.03
2024-09,recycling,manual,15,99.92
2024-09,recycling,platform,11,0.0
2024-09,social_services,manual,2,0.0
2024-10,boxes,manual,22,168.0
2024-10,business,platform,7,0.0
2024-10,business,manual,10,541.28
2024-10,carry_help,manual,7,0.0
2024-10,muutto,platform,38,0.0
2024-10,muutto,manual,112,10911.25
2024-10,recommerce,manual,40,2462.06
2024-10,recommerce,platform,85,0.0
2024-10,recycling,manual,18,805.0
2024-10,recycling,platform,10,0.0
